연번,구분,시설명,면적(m2),주소,주요시설,설치년도,데이터기준일자,y좌표,x좌표
1,운동장,광주 공설운동장,12977,경기도 광주시 경안동 123-4,"축구장, 육상장(4레인), 다목적구장, 인라인스케이트장",1987,2022-08-16,127.2516750,37.4148495
2,운동장,광남 생활체육공원,20753,경기도 광주시 태전동 601-1,"축구장, 씨름장, 게이트볼장, 농구장, 족구장 등",2011,2022-08-16,127.2382505,37.3891904
3,운동장,도척 그린공원,29777,경기도 광주시 도척면 유정리 211,"축구장, 야구장, 게이트볼장, 테니스장, 씨름장, 배드민턴장 ",2013,2022-08-16,127.3272943,37.2946308
4,운동장,퇴촌 공설운동장,16500,경기도 광주시 퇴촌면 광동리 530,"축구장, 게이트볼장, 놀이터, 주차장",1995,2022-08-16,127.3010234,37.4725043
5,운동장,남종 공설운동장,20055,경기도 광주시 남종면 분원리 100,축구장,1985,2022-08-16,127.3009515,37.4965279
